@dataValueAttribs												
precip	0	9999	mm									
@dataSetAttribs												
missingDataVal	-9999											
dataStart	01.01.1985 00:00											
dataEnd	31.12.2006 00:00											
tres	d											
@statAttribVal												
name	Chaurikhark	Sallery	Pakarnas	Chialsa	Aisealukhar	Okhaldunga	Manebhanjyang	Kuruleghat	Sirwa	station_9	station_10	station_14
01.06.1985 00:00	2.3	0	6	4.2	0	0.3	0	1.9	40	1.640994191	0.597567677	2.371136904
02.06.1985 00:00	2.5	0	0	0	0	1.4	3.8	0.3	4	1.988688827	0.54573065	2.24567771
03.06.1985 00:00	2.4	3	3	3.2	14.4	3.7	2	5.9	7.5	1.827942729	0.730165064	2.303788424
04.06.1985 00:00	2.4	2.5	4	3.2	0	9.5	8.5	3.4	5.2	2.891210079	0.983686388	7.283044338
05.06.1985 00:00	5.1	0	0	3.2	0	0	0	0	2.1	2.913268328	1.557587147	3.250473261
06.06.1985 00:00	0	0	0	0	0	0	0	0	6.9	0.481800884	3.034594059	0.035766762
07.06.1985 00:00	20	10.5	1	2.2	0	0.8	0	0	1	11.34194469	7.076467514	10.75782299
08.06.1985 00:00	4	11.5	11	14.5	0	0.3	0	0	0	2.706795692	0.945174992	3.694190502
09.06.1985 00:00	1.9	0	0	0	0	0	0	0	0	1.160272479	1.262452483	2.381957054
10.06.1985 00:00	4.2	1.5	0	4.1	9.5	1.5	0	0	0	2.377148867	0.885998249	3.298943758
11.06.1985 00:00	0	8	12.5	9.1	0	17.3	0	0	9.8	0.465164483	0.083714649	0.851994991
12.06.1985 00:00	1.3	2.5	5	6	0	37.6	0	0	10.9	1.048726797	0.806584954	1.503860354
13.06.1985 00:00	7.3	2.5	0	13.1	0	14.4	0	0	7.5	4.308253288	1.557357788	5.150807858
14.06.1985 00:00	7	1	6.2	6.1	105	8.5	14.5	0	21.9	6.529799461	1.826407075	5.550087929
15.06.1985 00:00	9	29	5.2	13.1	0	13	35.8	8.1	0	11.04621506	2.098638296	9.612421036
16.06.1985 00:00	23.3	3.5	2.1	1	64.6	2.1	0.5	0	5.6	12.44590187	4.756391048	12.4547987
17.06.1985 00:00	13.9	0	4	3.2	0	20.1	8.5	0	12	8.842539787	2.832954407	8.89686203
18.06.1985 00:00	10.5	0	0	0	0	0	0	0	2	5.506912231	2.088163853	5.800292015
19.06.1985 00:00	5	0	0	0	37	3	0	0	0	2.628241539	0.991680026	3.213973999
20.06.1985 00:00	3.7	16	40.8	39.8	15.1	18.5	3.3	0	31.5	4.125888824	1.094164968	5.888665199
21.06.1985 00:00	9.5	0	3	1.1	2.7	0.1	0	0	7.3	5.137220383	2.512937546	5.48415041
22.06.1985 00:00	1.5	0	2	2.1	0	19.3	0	0	11.9	0.947102308	0.507092834	1.12387526
23.06.1985 00:00	7.5	23	1.5	21.5	0	7.2	0	0	31.5	4.916574001	2.352954149	7.226123333
24.06.1985 00:00	58	44	10.8	40.5	19.4	22.4	0	0	9.5	31.63936234	12.14819145	35.34885788
25.06.1985 00:00	20.5	2.5	2	13	0	0	0	0	14.8	11.09565067	4.160478592	10.9400835
26.06.1985 00:00	3.1	24	0	3.8	36.5	0	0	0	7	2.133424997	2.075506687	2.882586479
27.06.1985 00:00	32.5	23	14	17.5	1.4	0.4	0	0	40.9	17.93035889	7.076111794	18.20732307
28.06.1985 00:00	15	9.5	1.5	10.5	3.6	1.2	0	0	35.3	9.125581741	7.76192379	8.732214928
29.06.1985 00:00	17.5	18	15	22.1	28.7	6.8	5.5	9.2	24.2	10.99547577	4.474710464	11.35064697
30.06.1985 00:00	6.1	43.5	22	19.5	100	16.5	10.5	0	12	5.963047028	1.681412458	6.228856564
01.07.1985 00:00	26.5	31	35	48.2	25.1	14	16.2	22.5	29.7	18.79362869	9.118150711	18.67775726
02.07.1985 00:00	21.5	1	3	1.5	10	9.6	31.5	8	8	16.35341454	4.405695438	14.42229271
03.07.1985 00:00	15.4	29	44	43.2	7.8	18.8	19	0	32.3	12.85242939	4.458208561	13.87825298
04.07.1985 00:00	23.1	34	62	36.9	115	76	10	9.2	93.3	15.92143726	13.35639763	17.09200287
05.07.1985 00:00	10	12.5	24	13.5	45	33.4	5	0	24.4	6.922785282	8.01892662	7.638161182
06.07.1985 00:00	9.1	35	31	32	0	41	6.1	3.2	31.5	7.660756588	8.268068314	8.96941185
07.07.1985 00:00	25.3	65	17	58	0	7.6	0	0	42	15.52791595	7.22069931	16.72467232
08.07.1985 00:00	27	41	16	4.6	45.4	4.1	7.9	11.4	26.6	15.96536446	6.481807709	15.50638485
09.07.1985 00:00	35.5	22	10	22.5	4.5	28.7	0	8.1	8	18.98498535	7.634764194	19.15142059
10.07.1985 00:00	6.7	5	5	7.5	3	3.1	11.2	3	3.3	5.593318939	1.793781042	5.201749802
11.07.1985 00:00	8.9	4	6	7	0	1.2	0	8.5	2.3	4.874845028	6.259902477	5.215125561
12.07.1985 00:00	45	31	10	31.5	0	0.4	0	1	12	24.16561127	12.92244816	25.1882019
13.07.1985 00:00	28	19.5	21	11.5	0	24.1	0.5	0	0	14.98900414	6.746209621	16.23190308
14.07.1985 00:00	25	28	45	36	80.1	26.7	15.2	5.9	30.5	16.87727737	10.888587	18.96446228
15.07.1985 00:00	30	26	33	26.5	4.9	57.5	20.1	0	85.8	20.16293526	10.41869926	19.85227013
16.07.1985 00:00	27.9	23	26	26.5	0	11.1	5	2.3	28	16.20799828	6.411895275	16.37796974
17.07.1985 00:00	30	17.5	10	21.5	0	4.5	0	7	19.9	16.06676674	6.807693481	15.49563026
18.07.1985 00:00	27.5	6	1	6.5	97	0	0	0	28	14.18720818	6.385033607	13.55100822
19.07.1985 00:00	18.2	13	17	25	0	21	0.5	2.3	18.8	10.14216423	3.999574661	10.74275303
20.07.1985 00:00	18.3	22.5	33	37	7.8	18.5	7	13.4	46.6	11.92727757	4.014350414	12.64007664
21.07.1985 00:00	31.5	27.5	27	41.6	53.6	10.3	11.2	0	26.5	19.50481796	9.790322304	19.6685791
22.07.1985 00:00	32.3	17	34	27.2	13.1	16.2	9.5	0	12.9	18.81481171	8.891196251	18.56428337
23.07.1985 00:00	27	19.5	26	19.2	84	29.7	0	56.6	45	15.42651558	13.71260071	15.56107235
24.07.1985 00:00	10.5	13	10	17.5	50.3	19.2	0	16	13.2	5.913013458	4.847995281	6.817276478
25.07.1985 00:00	34.5	31	35	30	39	33.1	5.4	24.1	23.4	19.52746964	7.916876793	19.89021683
26.07.1985 00:00	22.4	20	18	17.5	45.4	3	14.1	6.5	31.9	14.33921623	4.486136436	15.66289806
27.07.1985 00:00	74	11.5	5	7.5	11	0.5	0.5	0	13.9	36.88096237	18.58779144	34.86318207
28.07.1985 00:00	94.5	32.5	52	44.3	0	41.4	15	30	81.9	51.48195267	23.34660149	47.94716644
29.07.1985 00:00	2.2	10	21.1	14.3	27	34.4	34	5.8	4.5	7.451282024	0.666395068	5.759796143
30.07.1985 00:00	3.3	0	0	2.5	0	0	0	0	0	1.728260159	0.614972949	3.803957939
31.07.1985 00:00	0	0.2	0	1.3	31.6	0	0	0	9	0.094994031	0.007538353	0.352041572
01.08.1985 00:00	11.2	22	46	30.2	28	28.8	4.6	0	22.3	7.532774925	2.29237318	8.119368553
02.08.1985 00:00	9	20	17	17.5	49.5	13.4	0.4	0	9.5	5.259560108	2.252775192	6.381585598
03.08.1985 00:00	24	3	0	10	0	0	0	0	0	12.03781319	4.924577713	11.30221176
04.08.1985 00:00	4	17	6	9.7	57	1.2	0	0	73.4	2.709194422	1.816740632	3.151410103
05.08.1985 00:00	12	8	18	10.5	43.1	0.2	0	0	13.3	7.090434074	7.515154839	6.968357086
06.08.1985 00:00	3.5	12	32	48	4.3	45.3	0	20	9.4	3.286531687	0.934368193	4.560204029
07.08.1985 00:00	34.7	3	5	4	19	0.2	14.2	0	3.6	19.4334774	6.483675003	19.30800819
08.08.1985 00:00	8	0	3	5	0	0	0	0	0	4.028258324	1.514246225	3.808380365
09.08.1985 00:00	13.2	0	6	3	0	0.2	0	0	0	6.491225719	2.399711609	6.046638012
10.08.1985 00:00	14	3	0	10.5	35.2	1.6	0	0	0	7.124668598	2.661689997	7.211241722
11.08.1985 00:00	12.9	1	0	1.5	22	11	0	0	6.3	6.311295033	2.333895683	5.822018147
12.08.1985 00:00	7	14.5	22	3	4.9	0.2	0	0	15.5	4.572137833	6.84979105	3.811454773
13.08.1985 00:00	0	19	0	0	0	24.7	8.5	0	12.8	1.632376909	0.242263287	1.234474301
14.08.1985 00:00	26	17	12	15.5	14	1.9	0	4.6	16.5	13.46020222	6.05064106	16.49562263
